Dataset,Synthesizer,Repetition,Stage,Category,Message,Filename,Line
D10,CART,R3,output,RuntimeWarning,"More than 30% of hub or authority scores are zeros. The presence of zero values indicates that the solution is not unique, thus the returned result may not be meaningful. Location: src/centrality/hub_authority.c:77",/home/moliveira/.venvs/2605-synthpop/lib/python3.12/site-packages/problexity/classification/network.py,125
D100,,,input,RuntimeWarning,"More than 30% of hub or authority scores are zeros. The presence of zero values indicates that the solution is not unique, thus the returned result may not be meaningful. Location: src/centrality/hub_authority.c:77",/home/moliveira/.venvs/2605-synthpop/lib/python3.12/site-packages/problexity/classification/network.py,125
D100,TVAE,R1,output,RuntimeWarning,"More than 30% of hub or authority scores are zeros. The presence of zero values indicates that the solution is not unique, thus the returned result may not be meaningful. Location: src/centrality/hub_authority.c:77",/home/moliveira/.venvs/2605-synthpop/lib/python3.12/site-packages/problexity/classification/network.py,125
D100,TVAE,R2,output,RuntimeWarning,"More than 30% of hub or authority scores are zeros. The presence of zero values indicates that the solution is not unique, thus the returned result may not be meaningful. Location: src/centrality/hub_authority.c:77",/home/moliveira/.venvs/2605-synthpop/lib/python3.12/site-packages/problexity/classification/network.py,125
D100,TVAE,R3,output,RuntimeWarning,"More than 30% of hub or authority scores are zeros. The presence of zero values indicates that the solution is not unique, thus the returned result may not be meaningful. Location: src/centrality/hub_authority.c:77",/home/moliveira/.venvs/2605-synthpop/lib/python3.12/site-packages/problexity/classification/network.py,125
D100,CART,R1,output,RuntimeWarning,"More than 30% of hub or authority scores are zeros. The presence of zero values indicates that the solution is not unique, thus the returned result may not be meaningful. Location: src/centrality/hub_authority.c:77",/home/moliveira/.venvs/2605-synthpop/lib/python3.12/site-packages/problexity/classification/network.py,125
D100,CART,R2,output,RuntimeWarning,"More than 30% of hub or authority scores are zeros. The presence of zero values indicates that the solution is not unique, thus the returned result may not be meaningful. Location: src/centrality/hub_authority.c:77",/home/moliveira/.venvs/2605-synthpop/lib/python3.12/site-packages/problexity/classification/network.py,125
D100,CART,R3,output,RuntimeWarning,"More than 30% of hub or authority scores are zeros. The presence of zero values indicates that the solution is not unique, thus the returned result may not be meaningful. Location: src/centrality/hub_authority.c:77",/home/moliveira/.venvs/2605-synthpop/lib/python3.12/site-packages/problexity/classification/network.py,125
D1000,,,input,RuntimeWarning,"More than 30% of hub or authority scores are zeros. The presence of zero values indicates that the solution is not unique, thus the returned result may not be meaningful. Location: src/centrality/hub_authority.c:77",/home/moliveira/.venvs/2605-synthpop/lib/python3.12/site-packages/problexity/classification/network.py,125
D1000,TVAE,R1,output,RuntimeWarning,"More than 30% of hub or authority scores are zeros. The presence of zero values indicates that the solution is not unique, thus the returned result may not be meaningful. Location: src/centrality/hub_authority.c:77",/home/moliveira/.venvs/2605-synthpop/lib/python3.12/site-packages/problexity/classification/network.py,125
D1000,TVAE,R2,output,RuntimeWarning,"More than 30% of hub or authority scores are zeros. The presence of zero values indicates that the solution is not unique, thus the returned result may not be meaningful. Location: src/centrality/hub_authority.c:77",/home/moliveira/.venvs/2605-synthpop/lib/python3.12/site-packages/problexity/classification/network.py,125
D1000,TVAE,R3,output,RuntimeWarning,"More than 30% of hub or authority scores are zeros. The presence of zero values indicates that the solution is not unique, thus the returned result may not be meaningful. Location: src/centrality/hub_authority.c:77",/home/moliveira/.venvs/2605-synthpop/lib/python3.12/site-packages/problexity/classification/network.py,125
D1000,CART,R1,output,RuntimeWarning,"More than 30% of hub or authority scores are zeros. The presence of zero values indicates that the solution is not unique, thus the returned result may not be meaningful. Location: src/centrality/hub_authority.c:77",/home/moliveira/.venvs/2605-synthpop/lib/python3.12/site-packages/problexity/classification/network.py,125
D1000,CART,R2,output,RuntimeWarning,"More than 30% of hub or authority scores are zeros. The presence of zero values indicates that the solution is not unique, thus the returned result may not be meaningful. Location: src/centrality/hub_authority.c:77",/home/moliveira/.venvs/2605-synthpop/lib/python3.12/site-packages/problexity/classification/network.py,125
D1000,CART,R3,output,RuntimeWarning,"More than 30% of hub or authority scores are zeros. The presence of zero values indicates that the solution is not unique, thus the returned result may not be meaningful. Location: src/centrality/hub_authority.c:77",/home/moliveira/.venvs/2605-synthpop/lib/python3.12/site-packages/problexity/classification/network.py,125
D1001,,,input,RuntimeWarning,"More than 30% of hub or authority scores are zeros. The presence of zero values indicates that the solution is not unique, thus the returned result may not be meaningful. Location: src/centrality/hub_authority.c:77",/home/moliveira/.venvs/2605-synthpop/lib/python3.12/site-packages/problexity/classification/network.py,125
D1001,TVAE,R1,output,RuntimeWarning,"More than 30% of hub or authority scores are zeros. The presence of zero values indicates that the solution is not unique, thus the returned result may not be meaningful. Location: src/centrality/hub_authority.c:77",/home/moliveira/.venvs/2605-synthpop/lib/python3.12/site-packages/problexity/classification/network.py,125
D1001,TVAE,R2,output,RuntimeWarning,"More than 30% of hub or authority scores are zeros. The presence of zero values indicates that the solution is not unique, thus the returned result may not be meaningful. Location: src/centrality/hub_authority.c:77",/home/moliveira/.venvs/2605-synthpop/lib/python3.12/site-packages/problexity/classification/network.py,125
D1001,TVAE,R3,output,RuntimeWarning,"More than 30% of hub or authority scores are zeros. The presence of zero values indicates that the solution is not unique, thus the returned result may not be meaningful. Location: src/centrality/hub_authority.c:77",/home/moliveira/.venvs/2605-synthpop/lib/python3.12/site-packages/problexity/classification/network.py,125
D1001,CART,R1,output,RuntimeWarning,"More than 30% of hub or authority scores are zeros. The presence of zero values indicates that the solution is not unique, thus the returned result may not be meaningful. Location: src/centrality/hub_authority.c:77",/home/moliveira/.venvs/2605-synthpop/lib/python3.12/site-packages/problexity/classification/network.py,125
D1001,CART,R2,output,RuntimeWarning,"More than 30% of hub or authority scores are zeros. The presence of zero values indicates that the solution is not unique, thus the returned result may not be meaningful. Location: src/centrality/hub_authority.c:77",/home/moliveira/.venvs/2605-synthpop/lib/python3.12/site-packages/problexity/classification/network.py,125
D1001,CART,R3,output,RuntimeWarning,"More than 30% of hub or authority scores are zeros. The presence of zero values indicates that the solution is not unique, thus the returned result may not be meaningful. Location: src/centrality/hub_authority.c:77",/home/moliveira/.venvs/2605-synthpop/lib/python3.12/site-packages/problexity/classification/network.py,125
D1002,,,input,RuntimeWarning,"More than 30% of hub or authority scores are zeros. The presence of zero values indicates that the solution is not unique, thus the returned result may not be meaningful. Location: src/centrality/hub_authority.c:77",/home/moliveira/.venvs/2605-synthpop/lib/python3.12/site-packages/problexity/classification/network.py,125
D1002,TVAE,R1,output,RuntimeWarning,"More than 30% of hub or authority scores are zeros. The presence of zero values indicates that the solution is not unique, thus the returned result may not be meaningful. Location: src/centrality/hub_authority.c:77",/home/moliveira/.venvs/2605-synthpop/lib/python3.12/site-packages/problexity/classification/network.py,125
D1002,TVAE,R2,output,RuntimeWarning,"More than 30% of hub or authority scores are zeros. The presence of zero values indicates that the solution is not unique, thus the returned result may not be meaningful. Location: src/centrality/hub_authority.c:77",/home/moliveira/.venvs/2605-synthpop/lib/python3.12/site-packages/problexity/classification/network.py,125
D1002,TVAE,R3,output,RuntimeWarning,"More than 30% of hub or authority scores are zeros. The presence of zero values indicates that the solution is not unique, thus the returned result may not be meaningful. Location: src/centrality/hub_authority.c:77",/home/moliveira/.venvs/2605-synthpop/lib/python3.12/site-packages/problexity/classification/network.py,125
D1002,CART,R1,output,RuntimeWarning,"More than 30% of hub or authority scores are zeros. The presence of zero values indicates that the solution is not unique, thus the returned result may not be meaningful. Location: src/centrality/hub_authority.c:77",/home/moliveira/.venvs/2605-synthpop/lib/python3.12/site-packages/problexity/classification/network.py,125
D1002,CART,R2,output,RuntimeWarning,"More than 30% of hub or authority scores are zeros. The presence of zero values indicates that the solution is not unique, thus the returned result may not be meaningful. Location: src/centrality/hub_authority.c:77",/home/moliveira/.venvs/2605-synthpop/lib/python3.12/site-packages/problexity/classification/network.py,125
D1002,CART,R3,output,RuntimeWarning,"More than 30% of hub or authority scores are zeros. The presence of zero values indicates that the solution is not unique, thus the returned result may not be meaningful. Location: src/centrality/hub_authority.c:77",/home/moliveira/.venvs/2605-synthpop/lib/python3.12/site-packages/problexity/classification/network.py,125
D1003,,,input,RuntimeWarning,"More than 30% of hub or authority scores are zeros. The presence of zero values indicates that the solution is not unique, thus the returned result may not be meaningful. Location: src/centrality/hub_authority.c:77",/home/moliveira/.venvs/2605-synthpop/lib/python3.12/site-packages/problexity/classification/network.py,125
D1003,TVAE,R1,output,RuntimeWarning,"More than 30% of hub or authority scores are zeros. The presence of zero values indicates that the solution is not unique, thus the returned result may not be meaningful. Location: src/centrality/hub_authority.c:77",/home/moliveira/.venvs/2605-synthpop/lib/python3.12/site-packages/problexity/classification/network.py,125
D1003,TVAE,R2,output,RuntimeWarning,"More than 30% of hub or authority scores are zeros. The presence of zero values indicates that the solution is not unique, thus the returned result may not be meaningful. Location: src/centrality/hub_authority.c:77",/home/moliveira/.venvs/2605-synthpop/lib/python3.12/site-packages/problexity/classification/network.py,125
D1003,TVAE,R3,output,RuntimeWarning,"More than 30% of hub or authority scores are zeros. The presence of zero values indicates that the solution is not unique, thus the returned result may not be meaningful. Location: src/centrality/hub_authority.c:77",/home/moliveira/.venvs/2605-synthpop/lib/python3.12/site-packages/problexity/classification/network.py,125
D1003,CART,R1,output,RuntimeWarning,"More than 30% of hub or authority scores are zeros. The presence of zero values indicates that the solution is not unique, thus the returned result may not be meaningful. Location: src/centrality/hub_authority.c:77",/home/moliveira/.venvs/2605-synthpop/lib/python3.12/site-packages/problexity/classification/network.py,125
D1003,CART,R2,output,RuntimeWarning,"More than 30% of hub or authority scores are zeros. The presence of zero values indicates that the solution is not unique, thus the returned result may not be meaningful. Location: src/centrality/hub_authority.c:77",/home/moliveira/.venvs/2605-synthpop/lib/python3.12/site-packages/problexity/classification/network.py,125
D1003,CART,R3,output,RuntimeWarning,"More than 30% of hub or authority scores are zeros. The presence of zero values indicates that the solution is not unique, thus the returned result may not be meaningful. Location: src/centrality/hub_authority.c:77",/home/moliveira/.venvs/2605-synthpop/lib/python3.12/site-packages/problexity/classification/network.py,125
D1004,,,input,RuntimeWarning,"More than 30% of hub or authority scores are zeros. The presence of zero values indicates that the solution is not unique, thus the returned result may not be meaningful. Location: src/centrality/hub_authority.c:77",/home/moliveira/.venvs/2605-synthpop/lib/python3.12/site-packages/problexity/classification/network.py,125
D1004,TVAE,R1,output,RuntimeWarning,"More than 30% of hub or authority scores are zeros. The presence of zero values indicates that the solution is not unique, thus the returned result may not be meaningful. Location: src/centrality/hub_authority.c:77",/home/moliveira/.venvs/2605-synthpop/lib/python3.12/site-packages/problexity/classification/network.py,125
D1004,TVAE,R2,output,RuntimeWarning,"More than 30% of hub or authority scores are zeros. The presence of zero values indicates that the solution is not unique, thus the returned result may not be meaningful. Location: src/centrality/hub_authority.c:77",/home/moliveira/.venvs/2605-synthpop/lib/python3.12/site-packages/problexity/classification/network.py,125
D1004,TVAE,R3,output,RuntimeWarning,"More than 30% of hub or authority scores are zeros. The presence of zero values indicates that the solution is not unique, thus the returned result may not be meaningful. Location: src/centrality/hub_authority.c:77",/home/moliveira/.venvs/2605-synthpop/lib/python3.12/site-packages/problexity/classification/network.py,125
D1004,CART,R1,output,RuntimeWarning,"More than 30% of hub or authority scores are zeros. The presence of zero values indicates that the solution is not unique, thus the returned result may not be meaningful. Location: src/centrality/hub_authority.c:77",/home/moliveira/.venvs/2605-synthpop/lib/python3.12/site-packages/problexity/classification/network.py,125
D1004,CART,R2,output,RuntimeWarning,"More than 30% of hub or authority scores are zeros. The presence of zero values indicates that the solution is not unique, thus the returned result may not be meaningful. Location: src/centrality/hub_authority.c:77",/home/moliveira/.venvs/2605-synthpop/lib/python3.12/site-packages/problexity/classification/network.py,125
D1004,CART,R3,output,RuntimeWarning,"More than 30% of hub or authority scores are zeros. The presence of zero values indicates that the solution is not unique, thus the returned result may not be meaningful. Location: src/centrality/hub_authority.c:77",/home/moliveira/.venvs/2605-synthpop/lib/python3.12/site-packages/problexity/classification/network.py,125
D1005,,,input,RuntimeWarning,"More than 30% of hub or authority scores are zeros. The presence of zero values indicates that the solution is not unique, thus the returned result may not be meaningful. Location: src/centrality/hub_authority.c:77",/home/moliveira/.venvs/2605-synthpop/lib/python3.12/site-packages/problexity/classification/network.py,125
D1005,TVAE,R1,output,RuntimeWarning,"More than 30% of hub or authority scores are zeros. The presence of zero values indicates that the solution is not unique, thus the returned result may not be meaningful. Location: src/centrality/hub_authority.c:77",/home/moliveira/.venvs/2605-synthpop/lib/python3.12/site-packages/problexity/classification/network.py,125
D1005,TVAE,R2,output,RuntimeWarning,"More than 30% of hub or authority scores are zeros. The presence of zero values indicates that the solution is not unique, thus the returned result may not be meaningful. Location: src/centrality/hub_authority.c:77",/home/moliveira/.venvs/2605-synthpop/lib/python3.12/site-packages/problexity/classification/network.py,125
D1005,TVAE,R3,output,RuntimeWarning,"More than 30% of hub or authority scores are zeros. The presence of zero values indicates that the solution is not unique, thus the returned result may not be meaningful. Location: src/centrality/hub_authority.c:77",/home/moliveira/.venvs/2605-synthpop/lib/python3.12/site-packages/problexity/classification/network.py,125
D1005,CART,R1,output,RuntimeWarning,"More than 30% of hub or authority scores are zeros. The presence of zero values indicates that the solution is not unique, thus the returned result may not be meaningful. Location: src/centrality/hub_authority.c:77",/home/moliveira/.venvs/2605-synthpop/lib/python3.12/site-packages/problexity/classification/network.py,125
D1005,CART,R2,output,RuntimeWarning,"More than 30% of hub or authority scores are zeros. The presence of zero values indicates that the solution is not unique, thus the returned result may not be meaningful. Location: src/centrality/hub_authority.c:77",/home/moliveira/.venvs/2605-synthpop/lib/python3.12/site-packages/problexity/classification/network.py,125
D1005,CART,R3,output,RuntimeWarning,"More than 30% of hub or authority scores are zeros. The presence of zero values indicates that the solution is not unique, thus the returned result may not be meaningful. Location: src/centrality/hub_authority.c:77",/home/moliveira/.venvs/2605-synthpop/lib/python3.12/site-packages/problexity/classification/network.py,125
D1006,,,input,RuntimeWarning,"More than 30% of hub or authority scores are zeros. The presence of zero values indicates that the solution is not unique, thus the returned result may not be meaningful. Location: src/centrality/hub_authority.c:77",/home/moliveira/.venvs/2605-synthpop/lib/python3.12/site-packages/problexity/classification/network.py,125
D1006,TVAE,R1,output,RuntimeWarning,"More than 30% of hub or authority scores are zeros. The presence of zero values indicates that the solution is not unique, thus the returned result may not be meaningful. Location: src/centrality/hub_authority.c:77",/home/moliveira/.venvs/2605-synthpop/lib/python3.12/site-packages/problexity/classification/network.py,125
D1006,TVAE,R2,output,RuntimeWarning,"More than 30% of hub or authority scores are zeros. The presence of zero values indicates that the solution is not unique, thus the returned result may not be meaningful. Location: src/centrality/hub_authority.c:77",/home/moliveira/.venvs/2605-synthpop/lib/python3.12/site-packages/problexity/classification/network.py,125
D1006,TVAE,R3,output,RuntimeWarning,"More than 30% of hub or authority scores are zeros. The presence of zero values indicates that the solution is not unique, thus the returned result may not be meaningful. Location: src/centrality/hub_authority.c:77",/home/moliveira/.venvs/2605-synthpop/lib/python3.12/site-packages/problexity/classification/network.py,125
D1006,CART,R1,output,RuntimeWarning,"More than 30% of hub or authority scores are zeros. The presence of zero values indicates that the solution is not unique, thus the returned result may not be meaningful. Location: src/centrality/hub_authority.c:77",/home/moliveira/.venvs/2605-synthpop/lib/python3.12/site-packages/problexity/classification/network.py,125
D1006,CART,R2,output,RuntimeWarning,"More than 30% of hub or authority scores are zeros. The presence of zero values indicates that the solution is not unique, thus the returned result may not be meaningful. Location: src/centrality/hub_authority.c:77",/home/moliveira/.venvs/2605-synthpop/lib/python3.12/site-packages/problexity/classification/network.py,125
D1006,CART,R3,output,RuntimeWarning,"More than 30% of hub or authority scores are zeros. The presence of zero values indicates that the solution is not unique, thus the returned result may not be meaningful. Location: src/centrality/hub_authority.c:77",/home/moliveira/.venvs/2605-synthpop/lib/python3.12/site-packages/problexity/classification/network.py,125
D1007,,,input,RuntimeWarning,"More than 30% of hub or authority scores are zeros. The presence of zero values indicates that the solution is not unique, thus the returned result may not be meaningful. Location: src/centrality/hub_authority.c:77",/home/moliveira/.venvs/2605-synthpop/lib/python3.12/site-packages/problexity/classification/network.py,125
D1007,TVAE,R1,output,RuntimeWarning,"More than 30% of hub or authority scores are zeros. The presence of zero values indicates that the solution is not unique, thus the returned result may not be meaningful. Location: src/centrality/hub_authority.c:77",/home/moliveira/.venvs/2605-synthpop/lib/python3.12/site-packages/problexity/classification/network.py,125
D1007,TVAE,R2,output,RuntimeWarning,"More than 30% of hub or authority scores are zeros. The presence of zero values indicates that the solution is not unique, thus the returned result may not be meaningful. Location: src/centrality/hub_authority.c:77",/home/moliveira/.venvs/2605-synthpop/lib/python3.12/site-packages/problexity/classification/network.py,125
D1007,TVAE,R3,output,RuntimeWarning,"More than 30% of hub or authority scores are zeros. The presence of zero values indicates that the solution is not unique, thus the returned result may not be meaningful. Location: src/centrality/hub_authority.c:77",/home/moliveira/.venvs/2605-synthpop/lib/python3.12/site-packages/problexity/classification/network.py,125
D1007,CART,R1,output,RuntimeWarning,"More than 30% of hub or authority scores are zeros. The presence of zero values indicates that the solution is not unique, thus the returned result may not be meaningful. Location: src/centrality/hub_authority.c:77",/home/moliveira/.venvs/2605-synthpop/lib/python3.12/site-packages/problexity/classification/network.py,125
D1007,CART,R2,output,RuntimeWarning,"More than 30% of hub or authority scores are zeros. The presence of zero values indicates that the solution is not unique, thus the returned result may not be meaningful. Location: src/centrality/hub_authority.c:77",/home/moliveira/.venvs/2605-synthpop/lib/python3.12/site-packages/problexity/classification/network.py,125
D1007,CART,R3,output,RuntimeWarning,"More than 30% of hub or authority scores are zeros. The presence of zero values indicates that the solution is not unique, thus the returned result may not be meaningful. Location: src/centrality/hub_authority.c:77",/home/moliveira/.venvs/2605-synthpop/lib/python3.12/site-packages/problexity/classification/network.py,125
D1008,,,input,RuntimeWarning,"More than 30% of hub or authority scores are zeros. The presence of zero values indicates that the solution is not unique, thus the returned result may not be meaningful. Location: src/centrality/hub_authority.c:77",/home/moliveira/.venvs/2605-synthpop/lib/python3.12/site-packages/problexity/classification/network.py,125
D1008,TVAE,R1,output,RuntimeWarning,"More than 30% of hub or authority scores are zeros. The presence of zero values indicates that the solution is not unique, thus the returned result may not be meaningful. Location: src/centrality/hub_authority.c:77",/home/moliveira/.venvs/2605-synthpop/lib/python3.12/site-packages/problexity/classification/network.py,125
D1008,TVAE,R2,output,RuntimeWarning,"More than 30% of hub or authority scores are zeros. The presence of zero values indicates that the solution is not unique, thus the returned result may not be meaningful. Location: src/centrality/hub_authority.c:77",/home/moliveira/.venvs/2605-synthpop/lib/python3.12/site-packages/problexity/classification/network.py,125
D1008,TVAE,R3,output,RuntimeWarning,"More than 30% of hub or authority scores are zeros. The presence of zero values indicates that the solution is not unique, thus the returned result may not be meaningful. Location: src/centrality/hub_authority.c:77",/home/moliveira/.venvs/2605-synthpop/lib/python3.12/site-packages/problexity/classification/network.py,125
D1008,CART,R1,output,RuntimeWarning,"More than 30% of hub or authority scores are zeros. The presence of zero values indicates that the solution is not unique, thus the returned result may not be meaningful. Location: src/centrality/hub_authority.c:77",/home/moliveira/.venvs/2605-synthpop/lib/python3.12/site-packages/problexity/classification/network.py,125
D1008,CART,R2,output,RuntimeWarning,"More than 30% of hub or authority scores are zeros. The presence of zero values indicates that the solution is not unique, thus the returned result may not be meaningful. Location: src/centrality/hub_authority.c:77",/home/moliveira/.venvs/2605-synthpop/lib/python3.12/site-packages/problexity/classification/network.py,125
D1008,CART,R3,output,RuntimeWarning,"More than 30% of hub or authority scores are zeros. The presence of zero values indicates that the solution is not unique, thus the returned result may not be meaningful. Location: src/centrality/hub_authority.c:77",/home/moliveira/.venvs/2605-synthpop/lib/python3.12/site-packages/problexity/classification/network.py,125
D1009,,,input,RuntimeWarning,"More than 30% of hub or authority scores are zeros. The presence of zero values indicates that the solution is not unique, thus the returned result may not be meaningful. Location: src/centrality/hub_authority.c:77",/home/moliveira/.venvs/2605-synthpop/lib/python3.12/site-packages/problexity/classification/network.py,125
D1009,TVAE,R1,output,RuntimeWarning,"More than 30% of hub or authority scores are zeros. The presence of zero values indicates that the solution is not unique, thus the returned result may not be meaningful. Location: src/centrality/hub_authority.c:77",/home/moliveira/.venvs/2605-synthpop/lib/python3.12/site-packages/problexity/classification/network.py,125
D1009,TVAE,R2,output,RuntimeWarning,"More than 30% of hub or authority scores are zeros. The presence of zero values indicates that the solution is not unique, thus the returned result may not be meaningful. Location: src/centrality/hub_authority.c:77",/home/moliveira/.venvs/2605-synthpop/lib/python3.12/site-packages/problexity/classification/network.py,125
D1009,TVAE,R3,output,RuntimeWarning,"More than 30% of hub or authority scores are zeros. The presence of zero values indicates that the solution is not unique, thus the returned result may not be meaningful. Location: src/centrality/hub_authority.c:77",/home/moliveira/.venvs/2605-synthpop/lib/python3.12/site-packages/problexity/classification/network.py,125
D1009,CART,R1,output,RuntimeWarning,"More than 30% of hub or authority scores are zeros. The presence of zero values indicates that the solution is not unique, thus the returned result may not be meaningful. Location: src/centrality/hub_authority.c:77",/home/moliveira/.venvs/2605-synthpop/lib/python3.12/site-packages/problexity/classification/network.py,125
D1009,CART,R2,output,RuntimeWarning,"More than 30% of hub or authority scores are zeros. The presence of zero values indicates that the solution is not unique, thus the returned result may not be meaningful. Location: src/centrality/hub_authority.c:77",/home/moliveira/.venvs/2605-synthpop/lib/python3.12/site-packages/problexity/classification/network.py,125
D1009,CART,R3,output,RuntimeWarning,"More than 30% of hub or authority scores are zeros. The presence of zero values indicates that the solution is not unique, thus the returned result may not be meaningful. Location: src/centrality/hub_authority.c:77",/home/moliveira/.venvs/2605-synthpop/lib/python3.12/site-packages/problexity/classification/network.py,125
D101,,,input,RuntimeWarning,"More than 30% of hub or authority scores are zeros. The presence of zero values indicates that the solution is not unique, thus the returned result may not be meaningful. Location: src/centrality/hub_authority.c:77",/home/moliveira/.venvs/2605-synthpop/lib/python3.12/site-packages/problexity/classification/network.py,125
D101,TVAE,R1,output,RuntimeWarning,"More than 30% of hub or authority scores are zeros. The presence of zero values indicates that the solution is not unique, thus the returned result may not be meaningful. Location: src/centrality/hub_authority.c:77",/home/moliveira/.venvs/2605-synthpop/lib/python3.12/site-packages/problexity/classification/network.py,125
D101,TVAE,R2,output,RuntimeWarning,"More than 30% of hub or authority scores are zeros. The presence of zero values indicates that the solution is not unique, thus the returned result may not be meaningful. Location: src/centrality/hub_authority.c:77",/home/moliveira/.venvs/2605-synthpop/lib/python3.12/site-packages/problexity/classification/network.py,125
D101,TVAE,R3,output,RuntimeWarning,"More than 30% of hub or authority scores are zeros. The presence of zero values indicates that the solution is not unique, thus the returned result may not be meaningful. Location: src/centrality/hub_authority.c:77",/home/moliveira/.venvs/2605-synthpop/lib/python3.12/site-packages/problexity/classification/network.py,125
D101,CART,R1,output,RuntimeWarning,"More than 30% of hub or authority scores are zeros. The presence of zero values indicates that the solution is not unique, thus the returned result may not be meaningful. Location: src/centrality/hub_authority.c:77",/home/moliveira/.venvs/2605-synthpop/lib/python3.12/site-packages/problexity/classification/network.py,125
D101,CART,R2,output,RuntimeWarning,"More than 30% of hub or authority scores are zeros. The presence of zero values indicates that the solution is not unique, thus the returned result may not be meaningful. Location: src/centrality/hub_authority.c:77",/home/moliveira/.venvs/2605-synthpop/lib/python3.12/site-packages/problexity/classification/network.py,125
D101,CART,R3,output,RuntimeWarning,"More than 30% of hub or authority scores are zeros. The presence of zero values indicates that the solution is not unique, thus the returned result may not be meaningful. Location: src/centrality/hub_authority.c:77",/home/moliveira/.venvs/2605-synthpop/lib/python3.12/site-packages/problexity/classification/network.py,125
D1010,,,input,RuntimeWarning,"More than 30% of hub or authority scores are zeros. The presence of zero values indicates that the solution is not unique, thus the returned result may not be meaningful. Location: src/centrality/hub_authority.c:77",/home/moliveira/.venvs/2605-synthpop/lib/python3.12/site-packages/problexity/classification/network.py,125
D1010,TVAE,R1,output,RuntimeWarning,"More than 30% of hub or authority scores are zeros. The presence of zero values indicates that the solution is not unique, thus the returned result may not be meaningful. Location: src/centrality/hub_authority.c:77",/home/moliveira/.venvs/2605-synthpop/lib/python3.12/site-packages/problexity/classification/network.py,125
